orientations,pixels_per_cell,cells_per_block,transform_sqrt,accuracy
4,2,2,0,0.8730
4,2,2,1,0.8826
4,2,3,0,0.8829
4,2,3,1,0.8863
4,2,4,0,0.8916
4,2,4,1,0.8857
4,4,2,0,0.8874
4,4,2,1,0.8930
4,8,2,0,0.9046
4,8,2,1,0.9026
4,16,2,0,0.8725
4,16,2,1,0.8891
8,2,2,0,0.9116
8,4,2,0,0.9150
8,4,2,1,0.9167
8,8,2,0,0.9271
8,8,2,1,0.9265
8,16,2,0,0.9319
8,16,2,1,0.9254
12,4,2,0,0.9105
12,4,2,1,0.9105
12,8,2,0,0.9288
12,8,2,1,0.9234
12,16,2,0,0.9403
12,16,2,1,0.9254
16,4,2,0,0.9108
16,4,2,1,0.9144
16,8,2,0,0.9333
16,8,2,1,0.9178
16,16,2,0,0.9293
16,16,2,1,0.9209
