kernel,C,gamma,accuracy
linear,1,0.001000,0.9747
linear,1,0.000500,0.9747
linear,1,0.000100,0.9747
linear,10,0.001000,0.9710
linear,10,0.000500,0.9710
linear,10,0.000100,0.9710
linear,100,0.001000,0.9710
linear,100,0.000500,0.9710
linear,100,0.000100,0.9710
linear,1000,0.001000,0.9710
linear,1000,0.000500,0.9710
linear,1000,0.000100,0.9710
rbf,1,0.001000,0.9963
rbf,1,0.000500,0.9947
rbf,1,0.000100,0.9870
rbf,10,0.001000,0.9972
rbf,10,0.000500,0.9966
rbf,10,0.000100,0.9910
rbf,100,0.001000,0.9972
rbf,100,0.000500,0.9966
rbf,100,0.000100,0.9947
rbf,1000,0.001000,0.9972
rbf,1000,0.000500,0.9966
rbf,1000,0.000100,0.9941
